,City,Latitude,Longitude,Max_temp,Humidity,Clouds,Wind_speed,Country,Date
54,charters towers,-20.1,146.2667,79.88,69,54,9.55,AU,1612392524
55,tehri,30.3833,78.4833,49.53,49,53,5.19,IN,1612392524
56,fonte boa,-2.4959,-66.2662,76.01,94,100,2.28,BR,1612392525
57,beatrice,40.2681,-96.747,53.6,50,1,8.05,US,1612392525
58,mount isa,-20.7333,139.5,86.0,58,40,12.66,AU,1612392525
59,asau,46.4333,26.4,39.0,100,90,11.5,RO,1612392525
60,praia da vitoria,38.7333,-27.0667,53.6,66,40,26.98,PT,1612392525
61,baykit,61.67,96.37,-10.93,85,98,1.32,RU,1612392448
62,tchaourou,8.8865,2.5975,77.9,18,0,5.14,BJ,1612392526
63,svetlogorsk,52.6333,29.7333,33.6,98,99,6.76,BY,1612392526
64,harer,9.3094,42.1258,51.78,35,0,5.12,ET,1612392526
65,fuerte olimpo,-21.0415,-57.8738,83.34,69,95,2.13,PY,1612392526
66,mount gambier,-37.8333,140.7667,62.6,72,92,5.75,AU,1612392526
67,kaitangata,-46.2817,169.8464,55.99,59,66,5.99,NZ,1612392720
68,punta arenas,-53.15,-70.9167,62.6,63,40,18.41,CL,1612392721
69,nortelandia,-14.4547,-56.8028,75.7,89,93,5.48,BR,1612392527
70,jamestown,42.097,-79.2353,27.0,74,1,12.66,US,1612392721
71,cape town,-33.9258,18.4232,68.0,77,20,14.97,ZA,1612392553
72,olafsvik,64.8945,-23.7142,36.66,79,100,24.81,IS,1612392527
73,ancud,-41.8697,-73.8203,71.6,56,0,5.75,CL,1612392527
74,luxor,25.6989,32.6421,66.2,48,20,5.75,EG,1612392527
75,meulaboh,4.1363,96.1285,76.23,88,98,4.9,ID,1612392414
76,port lincoln,-34.7333,135.8667,62.26,80,100,14.03,AU,1612392722
77,klaksvik,62.2266,-6.589,32.0,80,37,1.14,FO,1612392528
78,husavik,66.0449,-17.3389,15.8,79,0,10.36,IS,1612392528
79,lady frere,-31.7031,27.2329,64.96,77,8,7.16,ZA,1612392528
80,acurenam,1.0322,10.6488,69.71,99,100,2.64,GQ,1612392528
81,ribeira grande,38.5167,-28.7,55.89,64,68,28.41,PT,1612392528
82,havelock,34.8791,-76.9013,48.2,25,20,14.97,US,1612392408
83,rocha,-34.4833,-54.3333,66.65,95,100,10.49,UY,1612392528
84,aracati,-4.5617,-37.7697,81.48,70,22,16.22,BR,1612392529
85,cap malheureux,-19.9842,57.6142,75.2,88,75,5.75,MU,1612392723
86,bethel,41.3712,-73.414,33.8,60,90,10.36,US,1612392402
87,garowe,8.4054,48.4845,60.13,62,0,7.23,SO,1612392529
88,broome,42.2506,-75.833,27.0,80,90,11.5,US,1612392396
89,port alfred,-33.5906,26.891,69.01,92,0,1.99,ZA,1612392495
90,arraial do cabo,-22.9661,-42.0278,77.47,83,0,24.14,BR,1612392404
91,haines junction,60.7522,-137.5108,-5.8,49,100,2.3,CA,1612392125
92,nome,64.5011,-165.4064,-2.2,55,20,13.8,US,1612392421
93,cidreira,-30.1811,-50.2056,76.86,94,100,9.53,BR,1612392530
94,pisco,-13.7,-76.2167,75.2,69,0,10.36,PE,1612392412
95,port elizabeth,-33.918,25.5701,68.0,94,40,10.36,ZA,1612392724
96,lompoc,34.6391,-120.4579,62.6,55,1,14.97,US,1612392432
97,prainha,-1.8,-53.48,82.74,62,23,3.96,BR,1612392530
98,tasiilaq,65.6145,-37.6368,26.58,97,100,25.46,GL,1612392725
99,crixas,-14.5489,-49.9692,76.48,84,87,2.13,BR,1612392531
100,bairiki,1.3292,172.9752,84.2,74,20,10.36,KI,1612392531
101,mahebourg,-20.4081,57.7,75.2,88,75,5.75,MU,1612392725
102,buala,-8.145,159.5921,80.55,79,100,11.63,SB,1612392531
103,phalaborwa,-23.943,31.1411,75.2,94,72,2.3,ZA,1612392531
104,novoseleznevo,55.6821,69.2056,4.24,94,18,5.82,RU,1612392531
105,barrow,71.2906,-156.7887,-23.8,76,1,14.97,US,1612392726
106,yingcheng,30.95,113.55,46.4,76,8,4.47,CN,1612392532
107,conde,-7.2597,-34.9075,80.6,78,20,10.36,BR,1612392344
108,santa isabel do rio negro,-0.4139,-65.0192,78.64,85,96,1.88,BR,1612392532
109,wald-michelbach,49.57,8.8317,52.0,93,100,5.01,DE,1612392532
110,chipata,-13.6333,32.65,65.32,94,98,3.31,ZM,1612392532
111,san andres,12.5847,-81.7006,80.6,61,40,14.97,CO,1612392532
112,khandyga,62.6667,135.6,-54.51,65,41,0.58,RU,1612392533
113,hermanus,-34.4187,19.2345,66.0,77,19,1.01,ZA,1612392727
114,uribia,11.7139,-72.266,84.52,57,2,10.4,CO,1612392533
115,saldanha,-33.0117,17.9442,64.4,82,0,5.75,ZA,1612392633
116,mar del plata,-38.0023,-57.5575,68.0,77,20,13.8,AR,1612392727
117,upernavik,72.7868,-56.1549,-14.87,70,8,5.21,GL,1612392398
118,abeche,13.8292,20.8324,73.08,19,29,12.66,TD,1612392534
119,noumea,-22.2763,166.4572,81.0,99,53,9.98,NC,1612392534
120,new norfolk,-42.7826,147.0587,61.0,91,88,1.01,AU,1612392728
121,arvika,59.6553,12.5852,10.4,85,2,13.8,SE,1612392534
122,thompson,55.7435,-97.8558,1.4,78,90,14.97,CA,1612392728
123,morros,-9.4467,-46.3003,78.73,69,56,3.96,BR,1612392534
124,bombay,19.0144,72.8479,75.2,57,1,6.64,IN,1612392516
